rank,company,founded,employees,score,ceo,state,hq,industry
1,Google,1998,"1,001 - 5,000",100,Sundar Pichai,California,Mountain View,IT Software & Services
2,Microsoft,1975,"100,001 - 500,000",99.37,Satya Nadella,Washington,Redmond,IT Software & Services
3,Concordia University,1974,"5,001 - 10,000",98.5,Graham Carr,Quebec,Montreal,Education
4,Hydro-Québec,1944,"10,001 - 50,000",98.49,Michael Sabia,Quebec,Montreal,Utilities
5,Hershey's,1894,"1,001 - 5,000",98.02,Michele Buck,Île-de-France,Mississauga,"Food, Soft Beverages, Alcohol & Tobacco"
6,McMillan,1903,"501 - 1,000",97.71,Bruce Chapple,Ontario,Toronto,Professional Services
7,Bank of Canada,1935,"1,001 - 5,000",95.57,Tiff Macklem,Ontario,Ottawa,Government Services
8,Adidas,1924,"50,001 - 100,000",95.28,Bjorn Gulden,Bavaria,Herzogenaurach,"Clothing, Shoes, Sports Equipment"
9,Canadian Institute for Health Information,1994,"501 - 1,000",95.18,Anderson Chuck,Ontario,Ottowa,Health Care Equipment & Services
10,Pratt & Whitney,1928,"10,001 - 50,000",95.15,Maria Della Posta,Quebec,Longueuil,Aerospace & Defense
11,Workplace Safety and Insurance Board (WSIB),1914,>1000,95.04,Jeffery Lang,Ontario,Toronto,Insurance
12,Parks Canada,1911,"5,001 - 10,000",94.9,Ron Hallman,Quebec,Gatineau,Government Services
13,Fisheries and Oceans Canada,1868,"10,001 - 50,000",94.89,Annette Gibbons,Ontario,Ottawa,Government Services
14,Desjardins,1900,"50,001 - 100,000",94.82,Guy Cormier,Quebec,Lévis,Banking and Financial Services
15,Lululemon Athletica,2000,"10,001 - 50,000",94.8,Calvin McDonald,British Columbia,Vancouver,"Clothing, Shoes, Sports Equipment"
16,Université Laval,1852,"10,001 - 50,000",94.5,Sophie D'Amours,Quebec,Québec,Education
17,Ontario Power Generation,1999,"10,001 - 50,000",94.05,Ken Hartwick,Ontario,Toronto,Utilities
18,BC Hydro,1860,"5,001 - 10,000",93.94,Chris O’Riley,British Columbia,Vancouver,Utilities
19,Manitoba Hydro,1961,"5,001 - 10,000",93.93,Jay Grewal,Manitoba,Winnipeg,Utilities
20,Shopify,2004,"5,001 - 10,000",93.74,Tobias Lütke,Ontario,Ottawa,IT Software & Services
21,WorkSafeBC,1917,>1000,93.68,Anne Naser,British Columbia,Vancouver,Government Services
22,Citizenship and Immigration Canada,1994,"10,001 - 50,000",93.45,Marc Miller,Ontario,Toronto,Government Services
23,Acuren,1974,"5,001 - 10,000",93.37,Talman Pizzey,Alberta,Sherwood Park,Business Services & Supplies
24,OpenText,1991,"10,001 - 50,000",93.08,Mark Barrenechea,Ontario,Waterloo,IT Software & Services
