rank,company,founded,employees,score,ceo,state,hq,industry
1,Ayala Land,1988,>10000,9.18,Anna Ma. Margarita B. Dy,null,Metropolitan Manila,Real Estate
2,Google,2013,"5,001 - 10,000",9.08,Bernadette Nacario,null,Metropolitan Manila,"IT, Internet, Software & Services"
3,Bureau of Fire Protection,1991,>10000,9.08,Fdir. Louie S. Puracan,null,Metropolitan Manila,Government Services
4,Unilever,1927,"1,001 - 5,000",9.07,Fredy Ong,null,Metropolitan Manila,Packaged Goods
5,JPMorgan Chase,1961,>10000,9.02,Jamie Dimon,null,Metropolitan Manila,Banking and Financial Services
6,Samsung,1969,"501 - 1,000",8.97,Jong Hee Han,null,Metropolitan Manila,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
7,Procter & Gamble (P&G),1935,>250,8.96,Jon R. Moeller,null,Metropolitan Manila,Packaged Goods
8,Supreme Court of the Philippines,1901,"1,001 - 5,000",8.94,Alexander G. Gesmundo,null,Metropolitan Manila,Government Services
9,Accenture,1985,>10000,8.93,Ambe Tierro,null,Metropolitan Manila,Professional Services
10,Toyota Aisin Philippines,1988,"1,001 - 5,000",8.91,Toru Takeuchi,null,Calabarzon,Automotive (Automotive and Suppliers)
11,Metropolitan Bank & Trust (Metrobank),1962,>10000,8.87,Fabian Dee,null,Metropolitan Manila,Banking and Financial Services
12,Ateneo de Manila University,1859,"1,001 - 5,000",8.85,Fr Roberto C Yap Sj,null,Metropolitan Manila,Education
13,Unilab,1945,"1,001 - 5,000",8.84,Clinton Campos Hess,null,Metropolitan Manila,Drugs & Biotechnology
14,De La Salle University,1911,"1,001 - 5,000",8.83,Br. Bernard S. Oca Fsc,null,Metropolitan Manila,Education
15,University of the Philippines,1908,"5,001 - 10,000",8.81,Atty. Angelo A. Jimenez,null,Metropolitan Manila,Education
16,Samsung Electro-Mechanics,1997,>10000,8.8,Chang Duckhyun,null,Calabarzon,"Engineering, Manufacturing"
17,Manila Doctors Hospital,1956,"1,001 - 5,000",8.78,Arlene P. Ledesma,null,Metropolitan Manila,Healthcare & Social
18,Jollibee Foods,1975,>10000,8.78,Ernesto Tanmantiong,null,Metropolitan Manila,Restaurants
19,Honda,1990,"501 - 1,000",8.77,Ms. Rie Miyake,null,Calabarzon,Automotive (Automotive and Suppliers)
20,Mindanao State University,1968,"501 - 1,000",8.77,Atty. Basari D. Mapupuno,null,Northern Mindanao,Education
21,Mang Inasal,2003,"1,001 - 5,000",8.75,Edgar Sia,null,Metropolitan Manila,Restaurants
22,Isuzu Automotive Dealership,1996,>250,8.75,Hajime Koso,null,Metropolitan Manila,Automotive (Automotive and Suppliers)
23,SM Development,1958,"1,001 - 5,000",8.72,Jose Mari Banzon,null,Metropolitan Manila,Real Estate
24,St. Luke's Medical Center,1903,"1,001 - 5,000",8.72,Dr. Dennis P. Serrano,null,Metropolitan Manila,Healthcare & Social
25,Chowking,1985,"1,001 - 5,000",8.72,"Andrew L. Santos, Jr.",null,Metropolitan Manila,Restaurants
26,Monde Nissin,1979,"1,001 - 5,000",8.72,Henry Soesanto,null,Calabarzon,"Food, Soft Beverages, Alcohol & Tobacco"
27,The Armed Forces of the Philippines,1898,>10000,8.72,Ltgen. Romeo Brawner Jr. Jr Pa,null,Metropolitan Manila,Government Services
28,Department of Trade and Industry,1898,"1,001 - 5,000",8.71,Ma. Cristina A. Roque,null,Metropolitan Manila,Government Services
29,San Miguel Food and Beverage,1956,"5,001 - 10,000",8.69,Ramon S. Ang,null,Metropolitan Manila,"Food, Soft Beverages, Alcohol & Tobacco"
30,Megawide Construction,1997,"1,001 - 5,000",8.68,Edgar B. Saavedra,null,Metropolitan Manila,"Construction, Oil & Gas Operations, Mining and Chemicals"
31,Emerson Electric Asia,1890,"1,001 - 5,000",8.64,Lal Karsanbhai,null,Metropolitan Manila,"IT, Internet, Software & Services"
32,Negros Women for Tomorrow Foundation,1984,"501 - 1,000",8.61,Suzzette D. Gaston,null,Western Visayas,Economy & Politics & NGO
33,Department of Social Welfare and Development,1915,"5,001 - 10,000",8.59,Rex Gatchalian,null,Metropolitan Manila,Government Services
34,Bank of The Philippine Island,1851,>10000,8.59,Jose Teodoro K. Limcaoco,null,Metropolitan Manila,Banking and Financial Services
35,PAG IBIG Fund,1978,"5,001 - 10,000",8.59,Marilene C. Acosta,null,Metropolitan Manila,Government Services
36,American Express International,1916,"1,001 - 5,000",8.58,Stephen J. Squeri,null,Metropolitan Manila,Banking and Financial Services
37,Philippine Manufacturing Co. of Murata,1944,>10000,8.57,Masayoshi Koda,null,Calabarzon,"Engineering, Manufacturing"
38,Department of Health,1898,"5,001 - 10,000",8.57,Dr. Teodoro J. Herbosa,null,Calabarzon,Government Services
39,Bounty Fresh Food,1986,"1,001 - 5,000",8.57,Tennyson G. Chen,null,Metropolitan Manila,"Food, Soft Beverages, Alcohol & Tobacco"
40,Shearwater Health Advisors,1973,"1,001 - 5,000",8.55,Tom Kendrot,null,Metropolitan Manila,Healthcare & Social
41,Aboitiz Construction,1975,"501 - 1,000",8.55,Sabin M. Aboitiz,null,Central Visayas,"Construction, Oil & Gas Operations, Mining and Chemicals"
42,Coca-Cola,1981,"1,001 - 5,000",8.54,Gareth Mcgeown,null,Metropolitan Manila,"Food, Soft Beverages, Alcohol & Tobacco"
