rank,company,founded,employees,score,ceo,state,hq,industry
1,Google,2002,200 - 500,9.4,Melissa Ferretti Peretti,Lombardy,Milano,"Internet, IT and Telecommunications"
2,Fratelli Carli,1911,200 - 500,9.4,Carlo Carli,Liguria,Imperia,"Food and Beverages, Other Non-Durable Consumer Goods"
3,Tenaris,1906,"1,001 - 5,000",9.39,Paola Rocca,Lombardy,Dalmine,Mechanical Engineering and Plant Engineering
4,Volkswagen,1985,"501 - 1,000",9.37,Marcus Osegowitsch,Veneto,Verona,"Automotive, Aeronautics and Defense"
5,Enav,1981,"1,001 - 5,000",9.35,Pasqualino Monti,Lazio,Roma,Transportation and Logistics
6,Luigi Lavazza,1895,"1,001 - 5,000",9.28,Antonio Baravalle,Piedmont,Torino,"Food and Beverages, Other Non-Durable Consumer Goods"
7,AXA,1984,"1,001 - 5,000",9.25,Chiara Soldano,Lombardy,Milano,"Banks, Insurance and Financial Services"
8,Tetra Pak International,1965,"1,001 - 5,000",9.24,Paolo Maggi,Emilia-Romagna,Rubiera,"Food and Beverages, Other Non-Durable Consumer Goods"
9,Apple,1976,"1,001 - 5,000",9.23,Danilo Belloni,Lombardy,Milano,"Internet, IT and Telecommunications"
10,Cisco,1994,200 - 500,9.2,Gianmatteo Manghi,Lombardy,Milano,"Internet, IT and Telecommunications"
11,Catalent,2007,"501 - 1,000",9.2,Alessandro Maselli,Lazio,Anagni,"Pharmaceutical, Chemical and Biotechnology"
12,Boehringer Ingelheim,1972,"501 - 1,000",9.17,Morena Sangiovanni,Lombardy,Milano,"Pharmaceutical, Chemical and Biotechnology"
13,Ferrari,1939,"5,001 - 10,000",9.16,Benedetto Vigna,Emilia-Romagna,Modena,"Automotive, Aeronautics and Defense"
14,Coca-Cola HBC,1927,"1,001 - 5,000",9.14,Frank O'Donnell,Lombardy,Sesto San Giovanni,"Food and Beverages, Other Non-Durable Consumer Goods"
15,Zurich,1902,"1,001 - 5,000",9.14,Alessandro Castellano,Lombardy,Milano,"Banks, Insurance and Financial Services"
16,Pandora,2010,"1,001 - 5,000",9.13,Massimo Basei,Lombardy,Milano,"Fashion, Accessories, Sports Equipment (Production and Trade)"
17,Versace,1978,"501 - 1,000",9.12,Emmanuel Gintzburger,Lombardy,Milano,"Fashion, Accessories, Sports Equipment (Production and Trade)"
18,Hilton Hotels & Resorts,1919,200 - 500,9.11,Sonia Ricciuti,Lazio,Roma,"Catering, Tourism, Hotel, Entertainment and Recreational Activities"
19,Pfizer,1955,"1,001 - 5,000",9.11,Albert Bourla,Lazio,Latina,"Pharmaceutical, Chemical and Biotechnology"
20,Iliad Italia,2016,"501 - 1,000",9.07,Benedetto Levi,Lombardy,Milano,"Internet, IT and Telecommunications"
