rank,company,founded,employees,score,ceo,state,hq,industry
1,Microsoft,1975,"100,001 - 500,000",100,Satya Nadella,United States,Redmond,"IT, Internet, Software & Services"
2,Alphabet,1998,"100,001 - 500,000",97.89,Sundar Pichai,United States,Mountain View,"IT, Internet, Software & Services"
3,Samsung Electronics,1938,"100,001 - 500,000",94.21,Jong-Hee Han,South Korea,Seoul,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
4,Adobe,1982,"10,001 - 50,000",94.19,Shantanu Narayen,United States,San Jose,"IT, Internet, Software & Services"
5,BMW Group,1916,"100,001 - 500,000",93.69,Oliver Zipse,Germany,Munich,Automotive (Automotive and Suppliers)
6,Delta Air Lines,1925,"50,001 - 100,000",91.98,Ed Bastian,United States,Atlanta,Transportation and Logistics
7,Airbus,1970,"100,001 - 500,000",90.8,Guillaume Faury,Netherlands,Leiden,Aerospace & Defense
8,Ikea,1943,"100,001 - 500,000",90.1,Jesper Brodin,Netherlands,Delft,Retail and Wholesale
9,Lego Group,1932,"10,001 - 50,000",89.8,Niels B. Christiansen,Denmark,Billund,Packaged Goods
10,IBM,1911,"100,001 - 500,000",89.31,Arvind Krishna,United States,Armonk,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
11,KB Financial Group,2008,"10,001 - 50,000",88.67,Jong-Hee Yang,South Korea,Seoul,Banking and Financial Services
12,Intel,1968,"100,001 - 500,000",88.66,Patrick Gelsinger,United States,Santa Clara,"IT, Internet, Software & Services"
13,Sony,1946,"100,001 - 500,000",88.48,Kenichiro Yoshida,Japan,Tokyo,Conglomerate
14,Bosch,1886,"100,001 - 500,000",88.33,Stefan Hartung,Germany,Gerlingen,Automotive (Automotive and Suppliers)
15,Apple,1976,"100,001 - 500,000",88.14,Tim Cook,United States,Cupertino,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
16,Nike,1964,"50,001 - 100,000",87.99,John Donahoe,United States,Beaverton,"Clothing, Shoes, Sports Equipment"
17,Dell Technologies,1984,"100,001 - 500,000",87.9,Michael Dell,United States,Round Rock,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
18,Standard Bank Group,1862,"50,001 - 100,000",87.72,Sim Tshabalala,South Africa,Johannesburg,Banking and Financial Services
19,Cisco Systems,1984,"50,001 - 100,000",87.71,Chuck Robbins,United States,San Jose,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
20,Logitech International,1981,"5,001 - 10,000",87.64,Hanneke Faber,Switzerland,Lausanne,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
21,Hilton Worldwide,1919,"10,001 - 50,000",87.37,Christopher J. Nassetta,United States,McLean,Travel & Leisure
22,Nvidia,1993,"10,001 - 50,000",87.14,Jen-Hsun Huang,United States,Santa Clara,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
23,Adidas,1949,"50,001 - 100,000",87.1,Bjørn Gulden,Germany,Herzogenaurach,"Clothing, Shoes, Sports Equipment"
