rank,company,founded,employees,score,ceo,state,hq,industry
1,Nationwide Children's Hospital,1892,"10,001 - 50,000",100,Timothy Robinson,Ohio,Columbus,Healthcare & Social Services
2,Progressive,1937,"50,001 - 100,000",96.81,Tricia Griffith,Ohio,Mayfield Village,Insurance
3,lululemon athletica,1998,"10,001 - 50,000",96.77,Calvin McDonald,Washington,Sumner,"Clothing, Shoes, Sports Equipment"
4,BlueCross BlueShield of Minnesota,1933,"1,001 - 5,000",96.68,Dana Erickson,Minnesota,Eagan,Insurance
5,Foot Locker,1974,"10,001 - 50,000",96.65,Mary N. Dillon,New York,New York,"Clothing, Shoes, Sports Equipment"
6,Boston Medical Center,1996,"1,001 - 5,000",96.07,Alastair Bell,Massachusetts,Boston,Healthcare & Social Services
7,Sarasota Memorial Hospital,1925,"5,001 - 10,000",95.94,David Verinder,Florida,Sarasota,Healthcare & Social Services
8,Golden 1 Credit Union,1933,"1,001 - 5,000",95.8,Donna Bland,California,Sacramento,Banking and Financial Services
9,Alzheimer's Association,1980,"1,001 - 5,000",95.62,Joanne Pike,Illinois,Chicago,Healthcare & Social Services
10,St. Jude Children's Research Hospital,1962,"1,001 - 5,000",95.54,James R. Downing,Tennessee,Memphis,Healthcare & Social Services
11,Sutter Health,1921,"50,001 - 100,000",95.49,Warner L. Thomas,California,Sacramento,Healthcare & Social Services
12,H-E-B,1905,"100,001 - 500,000",95.2,Charles Butt,Texas,San Antonio,Retail and Wholesale
13,Amedisys Home Health & Hospice,1982,"10,001 - 50,000",95.04,Richard Ashworth,Louisiana,Baton Rouge,Healthcare & Social Services
14,Mutual of Omaha,1909,"5,001 - 10,000",94.94,James T. Blackledge,Nebraska,Omaha,Insurance
15,LUSH Fresh Handmade Cosmetics,1995,"10,001 - 50,000",94.92,Mark Constantine,British Columbia,Vancouver,Retail and Wholesale
16,Datavant,2017,>1000,94.9,Pete McCabe,California,San Francisco,Health Care Equipment & Services
17,Cargill,1865,"10,001 - 50,000",94.89,Brian Sikes,Minnesota,Wayzata,"Food, Soft Beverages, Alcohol & Tobacco"
18,NASA,1958,"10,001 - 50,000",94.82,Bill Nelson,District of Columbia,Washington,Aerospace & Defense
19,Cummins,1919,"50,001 - 100,000",94.72,Jennifer Rumsey,Indiana,Columbus,"Engineering, Manufacturing"
20,Schneider Electric,1836,"10,001 - 50,000",94.66,Peter Herweck,Massachusetts,Andover,"Semiconductors, Electronics, Electrical Engineering"
21,Talbots,1947,>5000,94.28,Lizanne Kindler,Massachusetts,Hingham,"Clothing, Shoes, Sports Equipment"
22,Johnson & Johnson,1886,"10,001 - 50,000",94.27,Joaquin Duato,New Jersey,New Brunswick,Drugs & Biotechnology
23,Levi Strauss & Co,1853,"5,001 - 10,000",94.23,Michelle Gass,California,San Francisco,"Clothing, Shoes, Sports Equipment"
24,Children's Healthcare of Atlanta,1998,"10,001 - 50,000",94.05,Donna W. Hyland,Georgia,Atlanta,Healthcare & Social Services
25,UW Medicine,1946,"10,001 - 50,000",93.99,Ana Cauce,Washington,Seattle,Healthcare & Social Services
26,Norton Healthcare,1886,"10,001 - 50,000",93.89,Russell F. Cox,Kentucky,Louisville,Healthcare & Social Services
27,Cincinnati Children's,1883,"10,001 - 50,000",93.77,Steve Davis,Ohio,Cincinnati,Healthcare & Social Services
28,Edgewell Personal Care,2015,"1,001 - 5,000",93.56,Rod R. Little,Connecticut,Shelton,Packaged Goods
29,UC Davis Health System,1973,"10,001 - 50,000",93.4,David Lubarsky,California,Sacramento,Healthcare & Social Services
30,Children's Hospital of The King's Daughters,1961,"1,001 - 5,000",93.33,James D. Dahling,Virginia,Norfolk,Healthcare & Social Services
31,Brown University,1764,>1000,93.08,Christina Paxson,Rhode Island,Providence,Education
