rank,company,founded,employees,score,ceo,state,hq,industry
1,Progressive,1937,"50,001 - 100,000",90.45,Tricia Griffith,Ohio,Mayfield Village,Insurance
2,TD Bank,1855,"50,001 - 100,000",86.93,Bharat Masrani,New Jersey,Cherry Hill,Banking and Financial Services
3,TIAA,1918,"10,001 - 50,000",86.80,Thasunda Brown Duckett,New York,New York,Banking and Financial Services
4,Air Products & Chemicals,1940,"10,001 - 50,000",86.79,Seifi Ghasemi,Pennsylvania,Allentown,"Construction, Oil & Gas Operations, Mining and Chemicals"
5,Clorox,1913,"5,001 - 10,000",86.15,Linda Rendle,California,Oakland,Packaged Goods
6,Humana,1961,"50,001 - 100,000",85.69,Bruce D. Broussard,Kentucky,Louisville,Insurance
7,Interpublic Group (IPG),1930,"50,001 - 100,000",85.24,Philippe Krakowsky,New York,New York,Media & Advertising
8,Citigroup,1812,"100,001 - 500,000",85.22,Jane Fraser,New York,New York,Banking and Financial Services
9,Williams-Sonoma,1956,"10,001 - 50,000",84.98,Laura Alber,California,San Francisco,Retail and Wholesale
10,Booz Allen Hamilton,1914,"10,001 - 50,000",84.16,Horacio Rozanski,Virginia,McLean,Professional Services
11,Intel,1968,"100,001 - 500,000",84.11,Patrick Gelsinger,California,Santa Clara,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
12,Procter & Gamble,1837,"100,001 - 500,000",83.73,Jon R. Moeller,Ohio,Cincinnati,Packaged Goods
13,Maximus,1975,"10,001 - 50,000",83.60,Bruce Caswell,Virginia,Reston,Business Services & Supplies
14,ICF International,1969,"5,001 - 10,000",83.35,John Wasson,Virginia,Fairfax,Professional Services
15,Levi Strauss & Co,1853,"10,001 - 50,000",83.25,Chip Bergh,California,San Francisco,"Clothing, Shoes, Sports Equipment"
16,Cummins,1919,"50,001 - 100,000",83.19,Jennifer Ramsey,Indiana,Columbus,"Engineering, Manufacturing"
17,TTEC,1982,"50,001 - 100,000",83.06,Kenneth Tuchman,Colorado,Englewood,Business Services & Supplies
18,MasterCard,1966,"10,001 - 50,000",83.00,Michael Miebach,New York,Purchase,Banking and Financial Services
19,The Hartford,1810,"10,001 - 50,000",82.95,Christopher J. Swift,Connecticut,Hartford,Insurance
20,Brown-Forman,1870,"5,001 - 10,000",82.77,Lawson Whiting,Kentucky,Louisville,"Food, Soft Beverages, Alcohol & Tobacco"
21,Verizon Communications,1983,"100,001 - 500,000",82.76,Hans Vestberg,New York,New York,"Telecommunications Services, Cable Supplier"
22,Autodesk,1982,"10,001 - 50,000",82.75,Andrew Anagnost,California,San Rafael,"IT, Internet, Software & Services"
23,General Mills,1866,"10,001 - 50,000",82.73,Jeffrey L. Harmening,Minnesota,Minneapolis,"Food, Soft Beverages, Alcohol & Tobacco"
24,Ally Financial,1919,"10,001 - 50,000",82.51,Jeffrey J. Brown,Michigan,Detroit,Banking and Financial Services
25,Synchrony Financial,2003,"10,001 - 50,000",82.34,Brian Doubles,Connecticut,Stamford,Banking and Financial Services
26,Accenture,1989,"500,001 - 1,000,000",82.33,Julie Sweet,New York,New York,Professional Services
27,AbbVie,2013,"10,001 - 50,000",82.32,Richard A. Gonzalez,Illinois,North Chicago,Drugs & Biotechnology
28,Sempra,1998,"10,001 - 50,000",82.29,Jeffrey W. Martin,California,San Diego,Utilities
29,Discover Financial Services,1985,"10,001 - 50,000",82.28,Roger C. Hochschild,Illinois,Riverwoods,Banking and Financial Services
30,Ulta Beauty,1990,"10,001 - 50,000",82.27,Dave Kimbell,Illinois,Bolingbrook,Retail and Wholesale
31,New York Life,1845,"10,001 - 50,000",82.14,Craig DeSanto,New York,New York,Insurance
32,Johnson & Johnson,1886,"100,001 - 500,000",82.03,Joaquin Duato,New Jersey,New Brunswick,Drugs & Biotechnology
33,BlueCross BlueShield of Tennessee,1945,"5,001 - 10,000",81.91,JD Hickey,Tennessee,Chattanooga,Insurance
34,Voya Financial,1977,"5,001 - 10,000",81.91,"Rodney O. Martin, Jr.",New York,New York,Banking and Financial Services
35,PNC Financial Services,1845,"50,001 - 100,000",81.83,William S. Demchak,Pennsylvania,Pittsburgh,Banking and Financial Services
36,salesforce.com,1999,"50,001 - 100,000",81.74,Marc Benioff,California,San Francisco,"IT, Internet, Software & Services"
37,Grainger,1927,"10,001 - 50,000",81.71,DG Macpherson Macpherson,Illinois,Lake Forest,Retail and Wholesale
38,Cincinnati Children's,1883,"10,001 - 50,000",81.56,Steve Davis,Ohio,Cincinnati,Healthcare & Social
39,LUSH Fresh Handmade Cosmetics,1995,"10,001 - 50,000",81.53,Mark Constantine,British Columbia,Vancouver,Retail and Wholesale
40,Keysight Technologies,2014,"1,001 - 5,000",81.43,Satish Dhanasekaran,California,Santa Rosa,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
41,WL Gore & Associates,1958,"10,001 - 50,000",81.34,Bret Snyder,Delaware,Newark,"Engineering, Manufacturing"
42,Colgate-Palmolive,1806,"10,001 - 50,000",81.07,Noel Wallace,New York,New York,Packaged Goods
43,Thermo Fisher Scientific,1983,"100,001 - 500,000",81.07,Marc N. Casper,Massachusetts,Waltham,Drugs & Biotechnology
44,Raymond James Financial,1962,"10,001 - 50,000",80.96,Paul C. Reilly,Florida,St. Petersburg,Banking and Financial Services
45,Rocket Companies,1985,"10,001 - 50,000",80.85,Jay Farner,Michigan,Detroit,Banking and Financial Services
46,Marriott International,1927,"100,001 - 500,000",80.74,Anthony Capuano,Maryland,Bethesda,Travel & Leisure
47,The Estée Lauder Companies,1946,"50,001 - 100,000",80.74,Fabrizio Freda,New York,New York,Packaged Goods
48,Regions Financial,1971,"10,001 - 50,000",80.66,"John M. Turner, Jr.",Alabama,Birmingham,Banking and Financial Services
49,Cone Health,1953,"10,001 - 50,000",80.52,Mary Jo Cagle,North Carolina,Greensboro,Healthcare & Social
50,Gilead Sciences,1987,"10,001 - 50,000",80.44,Daniel O'Day,California,Foster City,Drugs & Biotechnology
51,Cisco Systems,1984,"50,001 - 100,000",80.34,Chuck Robbins,California,San Jose,"IT, Internet, Software & Services"
52,"Meta Platforms, Inc.",2004,"50,001 - 100,000",80.26,Mark Zuckerberg,California,Menlo Park,"IT, Internet, Software & Services"
53,Indeed,2004,"10,001 - 50,000",80.25,Chris Hyams,Texas,Austin,"IT, Internet, Software & Services"
54,Corteva,2019,"10,001 - 50,000",80.21,Chuck Magro,Delaware,Wilmington,"Construction, Oil & Gas Operations, Mining and Chemicals"
55,UnitedHealth Group,1977,"100,001 - 500,000",80.17,Andrew Witty,Minnesota,Minnetonka,Insurance
56,Alaska Airlines,1932,"10,001 - 50,000",80.11,Ben Minicucci,Washington,SeaTac,Transportation and Logistics
57,Apple,1976,"100,001 - 500,000",80.10,Tim Cook,California,Cupertino,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
58,Smithsonian Institution,1846,"5,001 - 10,000",80.05,Lonnie G. Bunch,District of Columbia,Washington,Travel & Leisure
59,Google,1998,"100,001 - 500,000",79.98,Sundar Pichai,California,Mountain View,"IT, Internet, Software & Services"
60,M&T Bank,1856,"10,001 - 50,000",79.98,René F. Jones,New York,Buffalo,Banking and Financial Services
61,JPMorgan Chase,2000,"100,001 - 500,000",79.92,James Dimon,New York,New York,Banking and Financial Services
62,Assurant,1892,"10,001 - 50,000",79.92,Keith W. Demmings,New York,New York,Insurance
63,Travelers,1864,"10,001 - 50,000",79.87,Alan D. Schnitzer,New York,New York,Insurance
64,H&M,1947,"100,001 - 500,000",79.86,Helena Helmersson,New York,New York,"Clothing, Shoes, Sports Equipment"
65,Target,1902,"100,001 - 500,000",79.85,Brian Cornell,Minnesota,Minneapolis,Retail and Wholesale
66,Pfizer,1849,"50,001 - 100,000",79.85,Albert Bourla,New York,New York,Drugs & Biotechnology
67,Exelon,2000,"10,001 - 50,000",79.72,Calvin G. Butler,Illinois,Chicago,Utilities
68,Unum Group,1848,"10,001 - 50,000",79.71,Richard P. McKenney,Tennessee,Chattanooga,Insurance
69,Bristol Meyers Squibb,1887,"10,001 - 50,000",79.71,Giovanni Caforio,New York,New York,Drugs & Biotechnology
70,Intuit,1983,"10,001 - 50,000",79.70,Sasan Goordazi,California,Mountain View,"IT, Internet, Software & Services"
71,Merck,1891,"50,001 - 100,000",79.61,Robert M. Davis,New Jersey,Kenilworth,Drugs & Biotechnology
72,MetLife,1868,"10,001 - 50,000",79.60,Michel A. Khalaf,New York,New York,Insurance
73,Cleveland Clinic,1921,"50,001 - 100,000",79.59,Tomislav Mihaljevic,Ohio,Cleveland,Healthcare & Social
74,American Express,1850,"50,001 - 100,000",79.58,Stephen J. Squeri,New York,New York,Banking and Financial Services
75,BJC HealthCare,1937,"10,001 - 50,000",79.58,Richard J. Liekweg,Missouri,St. Louis,Healthcare & Social
76,BlueCross BlueShield of Michigan,1939,"5,001 - 10,000",79.57,Daniel J. Loepp,Michigan,Detroit,Insurance
