rank,company,founded,employees,score,ceo,state,hq,industry
1,Novo Nordisk,1923,"50,001 - 100,000",100,Lars Fruergaard Jørgensen,New Jersey,Plainsboro,Drugs & Biotechnology
2,Garmin,1989,>5000,98.13,Clifton Pemble,Kansas,Olathe,"Semiconductors, Electronics, Electrical Engineering"
3,Cook Children's Health Care,1993,>5000,96.64,Rick W. Merrill,Texas,Fort Worth,Healthcare & Social Services
4,Children's Hospital Colorado,1908,"5,001 - 10,000",95.79,Jena Hausmann,Colorado,Aurora,Healthcare & Social Services
5,Delta Air Lines,1924,"50,001 - 100,000",95.61,Ed Bastian,Georgia,Atlanta,Transportation and Logistics
6,In-N-Out Burger,1948,"10,001 - 50,000",95.6,Lynsi Snyder,California,Irvine,Restaurants
7,Houston Methodist,1919,"10,001 - 50,000",95.31,Marc L. Boom,Texas,Houston,Healthcare & Social Services
8,eXp Realty,2009,>10000,94.69,Glenn Sanford,Washington,Bellingham,Business Services & Supplies
9,St. Jude Children's Research Hospital,1962,"5,001 - 10,000",94.1,James R. Downing,Tennessee,Memphis,Healthcare & Social Services
10,The University of Kansas Health System,1906,>5000,94.05,Bob Page,Kansas,Kansas City,Healthcare & Social Services
11,BlueCross BlueShield of Tennessee,1945,"5,001 - 10,000",93.95,JD Hickey,Tennessee,Chattanooga,Insurance
12,Trader Joe's,1967,>10000,93.89,Dan Bane,California,Monrovia,Retail and Wholesale
13,Ally Financial,1919,"10,001 - 50,000",93.82,Jeffrey J. Brown,Michigan,Detroit,Banking and Financial Services
14,Fidelity Investments,1946,"50,001 - 100,000",93.67,Abigail Johnson,Massachusetts,Boston,Banking and Financial Services
15,Amgen,1980,"10,001 - 50,000",93.65,Robert Bradway,California,Thousand Oaks,Drugs & Biotechnology
16,Keysight Technologies,2014,"5,001 - 10,000",93.61,Satish Dhanasekaran,California,Santa Rosa,"Semiconductors, Electronics, Electrical Engineering"
17,Sony,1946,"100,001 - 500,000",93.58,Kenichiro Yoshida,Tokyo,Tokyo,"Semiconductors, Electronics, Electrical Engineering"
18,Microsoft,1975,"100,001 - 500,000",93.27,Satya Nadella,Washington,Redmond,IT Software & Services
19,Marvin Family of Brands,1912,"5,001 - 10,000",92.85,Paul Marvin,Minnesota,Warroad,"Engineering, Manufacturing"
20,University of Notre Dame,1842,>5000,92.7,John I. Jenkins,Indiana,Notre Dame,Education
21,Google,1998,"100,001 - 500,000",92.43,Sundar Pichai,California,Mountain View,IT Software & Services
22,NASA,1958,"10,001 - 50,000",92.36,Bill Nelson,District of Columbia,Washington,Aerospace & Defense
23,H-E-B,1905,"100,001 - 500,000",92.26,Charles Butt,Texas,San Antonio,Retail and Wholesale
24,Mutual of Omaha,1909,"5,001 - 10,000",92.18,James T. Blackledge,Nebraska,Omaha,Insurance
25,Children's Healthcare of Atlanta,1998,"10,001 - 50,000",92.1,Donna W. Hyland,Georgia,Atlanta,Healthcare & Social Services
26,Progressive,1937,"50,001 - 100,000",92.07,Tricia Griffith,Ohio,Mayfield Village,Insurance
27,American Express,1850,"10,001 - 50,000",91.94,Stephen J. Squeri,New York,New York,Banking and Financial Services
28,NVIDIA,1993,"10,001 - 50,000",91.84,Jensen Huang,California,Santa Clara,"Semiconductors, Electronics, Electrical Engineering"
29,Keller Williams Realty,1983,"100,001 - 500,000",91.43,Gary Keller,Texas,Austin,Business Services & Supplies
30,Workday,2005,"10,001 - 50,000",91.38,Aneel Bhuri,California,Pleasanton,IT Software & Services
31,Turner Construction,1902,"5,001 - 10,000",91.26,Peter J. Davoren,New York,New York,"Construction, Chemicals, Raw Materials"
32,Choctaw Nation of Oklahoma,1820,"10,001 - 50,000",91.15,Gary Batton,Oklahoma,Tuskahoma,Government Services
33,Capital One Financial,1994,"50,001 - 100,000",91.08,Richard D. Fairbank,Virginia,McLean,Banking and Financial Services
34,New York-Presbyterian Hospital,1998,>10000,91.07,Steven J. Corwin,New York,New York,Healthcare & Social Services
35,Apple,1976,"100,001 - 500,000",91.01,Tim Cook,California,Cupertino,"Semiconductors, Electronics, Electrical Engineering"
36,Community Health Network,1976,"10,001 - 50,000",90.98,Bryan Mills,Indiana,Indianapolis,Healthcare & Social Services
37,"Conroe Independent School District, Conroe, TX",1892,"5,001 - 10,000",90.96,Curtis Null,Texas,Conroe,Education
38,Memorial Sloan Kettering Cancer Center,1884,>10000,90.83,Selwyn M. Vickers,New York,New York,Healthcare & Social Services
39,Discount Tire,1960,>10000,90.66,Dean Muglia,Arizona,Scottsdale,Retail and Wholesale
40,Schweitzer Engineering Laboratories (SEL),1982,>5000,90.62,Dave Whitehead,Washington,Pullman,"Engineering, Manufacturing"
