rank,company,founded,employees,score,ceo,state,hq,industry
1,University of Notre Dame,1842,>5000,100,Robert A. Dowd,Indiana,Notre Dame,Education
2,Trader Joe's,1967,>10000,98.96,Bryan Palbaum,California,Monrovia,Retail and Wholesale
3,Houston Methodist,1919,"10,001 - 50,000",98.75,Marc L. Boom,Texas,Houston,Healthcare & Social Services
4,NVIDIA,1993,"10,001 - 50,000",98.29,Jensen Huang,California,Santa Clara,"Semiconductors, Electronics, Electrical Engineering"
5,Navy Federal Credit Union,1933,"10,001 - 50,000",97.15,Dietrich Kuhlmann,Virginia,Vienna,Banking and Financial Services
6,Google,1998,"100,001 - 500,000",96.88,Sundar Pichai,California,Mountain View,IT Software & Services
7,Microsoft,1975,"100,001 - 500,000",96.81,Satya Nadella,Washington,Redmond,IT Software & Services
8,In-N-Out Burger,1948,"10,001 - 50,000",96.8,Lynsi Snyder,California,Irvine,Restaurants
9,Delta Air Lines,1924,"50,001 - 100,000",96.12,Ed Bastian,Georgia,Atlanta,Transportation and Logistics
10,Raymond James Financial,1962,"10,001 - 50,000",95.73,Paul C. Reilly,Florida,St. Petersburg,Banking and Financial Services
11,Memorial Sloan Kettering Cancer Center,1884,"10,001 - 50,000",95.67,Selwyn M. Vickers,New York,New York,Healthcare & Social Services
12,Apple,1976,"100,001 - 500,000",95.64,Tim Cook,California,Cupertino,"Semiconductors, Electronics, Electrical Engineering"
13,Washington University in Saint Louis,1853,"10,001 - 50,000",95.49,Andrew D. Martin,Missouri,St. Louis,Education
14,University of Tennessee Medical Center,1956,"5,001 - 10,000",95.27,Joseph R. Landsman,Tennessee,Knoxville,Healthcare & Social Services
15,"Salesforce, Inc.",1999,"5,001 - 10,000",95.17,Marc Benioff,California,San Francisco,IT Software & Services
16,Garmin,1989,"10,001 - 50,000",95.13,Clifton Pemble,Kansas,Olathe,"Semiconductors, Electronics, Electrical Engineering"
17,St. Jude Children's Research Hospital,1962,"5,001 - 10,000",95.08,James R. Downing,Tennessee,Memphis,Healthcare & Social Services
18,St. Luke's University Health Network,1872,"10,001 - 50,000",95.08,Richard A. Anderson,Pennsylvania,Bethlehem,Healthcare & Social Services
19,UC Davis Health System,1973,"10,001 - 50,000",94.93,David Lubarsky,California,Sacramento,Healthcare & Social Services
20,NASA,1958,"10,001 - 50,000",94.35,Bill Nelson,District of Columbia,Washington,Aerospace & Defense
21,Massachusetts Institute of Technology,1861,"10,001 - 50,000",94.16,Sally Kornbluth,Massachusetts,Cambridge,Education
22,Cook Children's Health Care Systems,1993,"5,001 - 10,000",94.15,Rick W. Merrill,Texas,Fort Worth,Healthcare & Social Services
23,Mayo Clinic,1889,"50,001 - 100,000",93.86,Gianrico Farrugia,Minnesota,Rochester,Healthcare & Social Services
24,Community Health Network,1956,"10,001 - 50,000",93.7,Bryan Mills,Indiana,Indianapolis,Healthcare & Social Services
25,American Express,1850,"10,001 - 50,000",93.69,Stephen J. Squeri,New York,New York,Banking and Financial Services
26,Stanford University,1891,"10,001 - 50,000",93.56,Richard Saller,California,Stanford,Education
