rank,company,founded,employees,score,ceo,state,hq,industry
1,Cisco,1984,>250,84.49,Oliver Tuszik,Netherlands,Amsterdam,"IT, Internet, Software and Services"
2,Erste Bank,1819,>250,82.31,Peter Bosek,Austria,Vienna,Banking and Financial Services
3,"BD (Becton, Dickinson and Co.)",1897,>250,81.97,Roland Goette,Switzerland,Eysins,Health Care Equipment and Services
4,Diageo,1997,>250,81.32,Debra Crew,United Kingdom,London,"Food, Soft Beverages, Alcohol and Tobacco"
5,Nationwide Building Society,1884,>250,81.29,Debbie Crosbie,United Kingdom,Swindon,Banking and Financial Services
6,Admiral Group,1993,>250,80.81,Milena Mondini de Focatiis,United Kingdom,Cardiff,Insurance
7,GSK (GlaxoSmithKline),1715,>250,80.45,Emma Walmsley,United Kingdom,London,Drugs and Biotechnology
8,InterContinental Hotels Group,1777,>250,80.44,Elie Maalouf,United Kingdom,Berkshire,Travel and Leisure
9,Nationale-Nederlanden (NN),1845,>250,80.18,David Knibbe,Netherlands,The Hague,Banking and Financial Services
10,Rolls-Royce,1906,>250,80.12,Tufan Erginbilgic,United Kingdom,London,"Aerospace, Defence, Manufacture of Transport Equipment"
11,Roche,1896,>250,80.1,Dr Thomas Schinecker,Switzerland,Basel,Drugs and Biotechnology
12,Allianz,1890,>250,80.04,Oliver Bäte,Germany,Munich,Insurance
13,Lloyds Banking Group,1765,>250,79.89,Charlie Nunn,United Kingdom,London,Banking and Financial Services
14,AXA,1958,>250,79.88,Thomas Buberl,France,Paris,Insurance
15,Takeda,1781,>250,79.79,Christophe Weber,Switzerland,Zurich,Drugs and Biotechnology
16,SAP,1972,>250,79.79,Christian Klein,Germany,Walldorf,"IT, Internet, Software and Services"
17,Deutsche Telekom,1995,>250,79.71,Timotheus Höttges,Germany,Bonn,"Telecommunications Services, Cable Supplier"
18,The Coca-Cola Company,1892,>250,79.54,Damian Gammell,United Kingdom,Uxbridge,"Food, Soft Beverages, Alcohol and Tobacco"
19,Lush,1995,>250,79.52,Mark Constantine,United Kingdom,Poole Dorset,Retail
20,Ocado Group,2000,>250,79.41,Tim Steiner,United Kingdom,Hatfield,Retail
21,Telia Company,1853,>250,79.33,Patrik Hofbauer,Sweden,Solna,"Telecommunications Services, Cable Supplier"
22,Aena,1991,>250,79.18,Maurici Lucena Betriu,Spain,Madrid,Business Services and Supplies
23,Vodafone,1982,>250,79.16,Margherita Della Valle,United Kingdom,Newbury,"Telecommunications Services, Cable Supplier"
24,NatWest,1970,>250,79.13,Paul Thwaite,United Kingdom,Edinburgh,Banking and Financial Services
25,MAIF,1934,>250,78.94,Pascal Demurger,France,Niort,Insurance
26,L'Oréal,1909,>250,78.91,Nicolas Hieronimus,France,Paris,Packaged Goods
27,Natixis,2006,>250,78.89,Philippe Setbon,France,Paris,Banking and Financial Services
28,Marriott International,1927,>250,78.85,Anthony Capuano,Ireland,Cork,Travel and Leisure
29,Microsoft,1975,>250,78.82,Satya Nadella,Germany,Unterschleißheim,"IT, Internet, Software and Services"
30,GRDF,2008,>250,78.81,Laurence Poirier-Dietz,France,Paris,Utilities
31,Inditex,1963,>250,78.74,Óscar García Maceiras,Spain,Arteixo,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
32,Unicredit,1870,>250,78.73,Andrea Orcel,Italy,Milan,Banking and Financial Services
33,Shell,1897,>250,78.69,Wael Sawan,United Kingdom,London,"Oil and Gas Operations, Mining, and Chemicals"
34,Biomérieux,1963,>250,78.68,Pierre Boulud,France,Marcy-l'Étoile,Drugs and Biotechnology
