rank,company,founded,employees,score,ceo,state,hq,industry
1,Hilton Worldwide Holdings,1919,"10,001 - 50,000",86.36,Christopher J. Nassetta,United States,McLean,Travel & Leisure
2,MAIF,1934,"5,001 - 10,000",84.45,Pascal Demurger,France,Paris,Insurance
3,Douglas,1821,"10,001 - 50,000",84,Sander van der Laan,Germany,Düsseldorf,Retail and Wholesale
4,Virgin Group,1970,"50,001 - 100,000",83.52,Josh Bayliss,United Kingdom,London,Business Services & Supplies
5,Netflix,1997,"10,001 - 50,000",82.97,Greg Ted Peters Sarandos,United States,Los Gatos,Media & Advertising
6,RIO Tinto PLC,1873,"10,001 - 50,000",82.94,Jakob Stausholm,United Kingdom,London,"Construction, Oil & Gas Operations, Mining and Chemicals"
7,Sappi,1936,"10,001 - 50,000",82.19,Stephen Robert Binnie,South Africa,Johannesburg,"Construction, Oil & Gas Operations, Mining and Chemicals"
8,Microsoft,1975,"100,001 - 500,000",81.74,Satya Nadella,United States,Redmond,"IT, Software and Services"
9,Generali Group,1831,"50,001 - 100,000",81.64,Philippe Donnet,Italy,Trieste,Insurance
10,Deloitte,1845,"100,001 - 500,000",81.49,Joe Ucuzoglu,United Kingdom,London,Professional Services
11,Hennes & Mauritz,1947,"100,001 - 500,000",81.4,Daniel Ervér,Sweden,Stockholm,"Clothing, Shoes, Sports Equipment"
12,BioNTech,2008,"5,001 - 10,000",81.4,Ugur Sahin,Germany,Mainz,Drugs & Biotechnology
13,Roche,1896,"100,001 - 500,000",81.16,Thomas Schinecker,Switzerland,Basel,Drugs & Biotechnology
14,Coca-Cola HBC,1969,"10,001 - 50,000",81.15,Zoran Bogdanovic,Switzerland,Zug,"Food, Soft Beverages, Alcohol & Tobacco"
15,Marks and Spencer Group,1884,"50,001 - 100,000",80.9,Stuart Machin,United Kingdom,Leeds,Retail and Wholesale
16,NICE,1986,"5,001 - 10,000",80.77,Barak Eilam,Israel,Ra'anana,"IT, Software and Services"
17,Accor,1967,"100,001 - 500,000",80.72,Sébastien Bazin,France,Issy-les-Moulineaux,Travel & Leisure
18,Nielsen,1923,"10,001 - 50,000",80.64,Karthik Rao,United Kingdom,Oxford,Business Services & Supplies
19,The Estée Lauder Companies,1946,"50,001 - 100,000",80.46,Fabrizio Freda,United States,New York,"Construction, Oil & Gas Operations, Mining and Chemicals"
20,McKinsey & Company,1926,"10,001 - 50,000",80.36,Bob Sternfels,United States,New York,Professional Services
21,Mondi,1967,"10,001 - 50,000",80.21,Andrew King,United Kingdom,London,"Engineering, Manufacturing"
22,L'Oreal,1909,"50,001 - 100,000",80.15,Nicolas Hieronimus,France,Clichy,Packaged Goods
23,Citigroup,1998,"100,001 - 500,000",80.13,Jane Fraser,United States,New York,Banking and Financial Services
24,Fnac Darty,1957,"10,001 - 50,000",80.12,Enrique Martinez,France,Ivry-sur-Seine,Retail and Wholesale
25,Adidas,1949,"50,001 - 100,000",79.61,Bjørn Gulden,Germany,Herzogenaurach,"Clothing, Shoes, Sports Equipment"
26,MAN Group,1783,"1,001 - 5,000",79.45,Robyn Grew,United Kingdom,London,Banking and Financial Services
27,Grifols,1940,"10,001 - 50,000",79.36,Nacho Abia,Spain,Barcelona,Health Care Equipment & Services
28,3M Company,1902,"50,001 - 100,000",79.32,William M. Brown,United States,Saint Paul,Packaged Goods
29,Apple,1976,"100,001 - 500,000",79.29,Tim Cook,United States,Cupertino,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
30,National Bank of Canada,1979,"10,001 - 50,000",79.14,Laurent Ferreira,Canada,Montreal,Banking and Financial Services
31,Unilever,1929,"100,001 - 500,000",79.03,Hein Schumacher,United Kingdom,London,Packaged Goods
32,Accenture,1989,"500,001 - 1,000,000",79.01,Julie Sweet,Ireland,Dulin,Professional Services
33,Manitou BF SA,1957,"5,001 - 10,000",78.63,Michel Denis,France,Ancenis,"Engineering, Manufacturing"
34,Canadian Imperial Bank of Commerce,1961,"10,001 - 50,000",78.58,Victor G. Dodig,Canada,Toronto,Banking and Financial Services
35,Next,1864,"10,001 - 50,000",78.24,Simon Wolfson,United Kingdom,Leicester,"Clothing, Shoes, Sports Equipment"
36,Capita,1984,"10,001 - 50,000",78.04,Adolfo Hernandez,United Kingdom,London,Business Services & Supplies
37,Nike,1964,"50,001 - 100,000",77.95,John Donahoe,United States,Beaverton,"Clothing, Shoes, Sports Equipment"
38,Marriott International,1927,"100,001 - 500,000",77.71,Anthony Capuano,United States,Bethesda,Travel & Leisure
39,Natura & Co,1969,"10,001 - 50,000",77.3,Fábio Colletti Barbosa,Brazil,São Paulo,Retail and Wholesale
40,Alphabet,1998,"100,001 - 500,000",77.2,Sundar Pichai,United States,Mountain View,"IT, Software and Services"
