rank,company,founded,employees,score,ceo,state,hq,industry
1,"California State University, Los Angeles",1889,"1,001 - 5,000",100,Berenecea Johnson,California,Los Angeles,Education
2,Edgewell Personal Care,2015,"1,001 - 5,000",99.04,Rod R. Little,Connecticut,Shelton,Packaged Goods
3,Alzheimer's Association,1980,"1,001 - 5,000",98.43,Joanne Pike,Illinois,Chicago,Healthcare & Social Services
4,Businessolver,1998,>1000,97.69,Jon Shanahan,Iowa,West Des Moines,IT Software & Services
5,Jupiter Medical Center,1979,>1000,97.15,Amit Rastogi,Florida,Jupiter,Healthcare & Social Services
6,New York City College of Technology (City Tech CUNY),1946,>1000,96.75,Russell Hotzler,New York,New York,Education
7,The California Institute of Technology (Caltech),1891,"1,001 - 5,000",96.53,Thomas F. Rosenbaum,California,Pasadena,Education
8,Excellus BlueCross BlueShield,1932,"1,001 - 5,000",96.38,James R. Reed,New York,Rochester,Insurance
9,"Utz Brands, Inc.",1921,"1,001 - 5,000",96.28,Dylan Lisette,Pennsylvania,Hanover,"Food, Soft Beverages, Alcohol & Tobacco"
10,Financial Industry Regulatory Authority (FINRA),2007,"1,001 - 5,000",96.22,Robert W. Cook,District of Columbia,Washington,Government Services
11,Tulane University,1834,"1,001 - 5,000",95.42,Michael A. Fitts,Louisiana,New Orleans,Education
12,Shriners Hospitals for Children,1922,"1,001 - 5,000",95.38,John McCabe,Florida,Tampa,Healthcare & Social Services
13,"PC Connection, Inc.",1982,"1,001 - 5,000",95.14,Timothy McGrath,New Hampshire,Merrimack,IT Software & Services
14,Cleveland State University,1964,"1,001 - 5,000",95.1,Laura Bloomberg,Ohio,Cleveland,Education
15,Fabick Cat,1917,"1,001 - 5,000",95.06,Jere Fabick,Missouri,Fenton,"Engineering, Manufacturing"
16,Oklahoma Gas & Electric,1902,"1,001 - 5,000",94.07,Sean Trauschke,Oklahoma,Oklahoma City,"Construction, Chemicals, Raw Materials"
17,Pikeville Medical Center,1924,"1,001 - 5,000",94.05,Donovan Blackburn,Kentucky,Pikeville,Healthcare & Social Services
18,"Noblesville Schools, Noblesville, IN",1887,"1,001 - 5,000",94.03,Daniel G. Hile,Indiana,Noblesville,Education
19,Vizient,2016,"1,001 - 5,000",93.96,Byron Jobe,Texas,Irving,Healthcare & Social Services
20,Goodwill Industries of Greater New York & Northern New Jersey,1915,>1000,93.93,Katy Gaul-Stigge,New York,Brooklyn,Retail and Wholesale
21,Fruit of the Loom Companies,1851,>10000,93.87,Melissa Burgess Taylor,Kentucky,Bowling Green,Packaged Goods
22,Hendricks Regional Health,1962,"1,001 - 5,000",93.86,D. Michelle Fenoughty,Indiana,Danville,Healthcare & Social Services
23,Dexcom,1999,"1,001 - 5,000",93.85,Kevin Sayer,California,San Diego,Health Care Equipment & Services
24,Gilbane Building Company,1870,"1,001 - 5,000",93.59,Michael E. McKelvy,Rhode Island,Providence,"Construction, Chemicals, Raw Materials"
25,Oklahoma Heart Hospital,2002,>1000,93.36,John R. Harvey,Oklahoma,Oklahoma City,Healthcare & Social Services
26,Akamai,1998,"1,001 - 5,000",93.33,Tom Leighton,Massachusetts,Cambridge,IT Software & Services
27,Boys Town,1917,>1000,93.32,Rod Kempkes,Nebraska,Boys Town,Healthcare & Social Services
28,Epic Games,1991,>1000,93.2,Tim Sweeney,North Carolina,Cary,Media & Advertising
29,Federal Communications Commission,1934,"1,001 - 5,000",93.02,Jessica Rosenworcel,District of Columbia,Washington,Government Services
30,Wake Forest University,1834,>1000,93.01,Susan R. Wente,North Carolina,Winston-Salem,Education
31,AARP,1958,>1000,93,Jo Ann Jenkins,District of Columbia,Washington,Healthcare & Social Services
32,Red Bull,1987,"10,001 - 50,000",92.97,Franz Watzlawick Oliver Mintzlaff,California,Santa Monica,"Food, Soft Beverages, Alcohol & Tobacco"
