rank,company,founded,employees,score,ceo,state,hq,industry
1,Energie AG Oberösterreich,1892,"1,001 - 5,000",8.09,Prof. KR Ing. DDr. Werner Steinecker,Upper Austria,Linz,"Raw Materials, Utilities"
2,Institute of Science and Technology Austria,2006,"501 - 1,000",8.09,Thomas A. Henzinger,Lower Austria,Klosterneuburg,Education and Research
3,Roche,1907,201 - 500,8.06,Susanne Erkens-Reck,Vienna,Wien,Chemicals and Pharmaceuticals
4,Energie Steiermark,1996,"1,001 - 5,000",7.99,Christian Purrer,Styria,Graz,"Raw Materials, Utilities"
5,Verbund,1947,"1,001 - 5,000",7.98,Michael Strugl,Vienna,Wien,"Raw Materials, Utilities"
6,dm drogerie markt,1976,"5,001 - 10,000",7.93,Martin Engelmann,Salzburg,Wals,Retail and Retail Services
7,Porsche Holding,1947,"5,001 - 10,000",7.91,Hans Peter Schützinger,Salzburg,Salzburg,Wholesale
8,ÖBB (Österreichische Bundesbahnen),1923,"10,001 - 50,000",7.90,Andreas Matthä,Vienna,Wien,Transportation and Logistics
9,Hilti,1941,201 - 500,7.82,Dr. Manfred Gutternigg,Vienna,Wien,Finished Goods and Consumer Goods
10,Würth,1962,"501 - 1,000",7.82,Alfred Wurmbrand,Lower Austria,Böheimkirchen,Wholesale
11,Brau Union Österreich,1998,"1,001 - 5,000",7.80,Klaus Schörghofer,Upper Austria,Linz,"Food, Soft Beverages, FMCG"
12,Miele,1955,"501 - 1,000",7.80,Sandra Kolleth,Salzburg,Wals,Finished Goods and Consumer Goods
13,Helvetia,1858,"501 - 1,000",7.79,Thomas Neusiedler,Vienna,Wien,Insurance
14,Österr. Bundesforste,1997,"501 - 1,000",7.75,Dr. Rudolf Freidhager,Lower Austria,Purkersdorf,"Raw Materials, Utilities"
15,Boehringer Ingelheim,1948,"1,001 - 5,000",7.75,Philipp von Lattorff,Vienna,Wien,Chemicals and Pharmaceuticals
16,Microsoft,1991,201 - 500,7.73,Hermann Erlach,Vienna,Wien,"IT, Internet, Telecommunication"
17,Austrian Power Grid (APG),1998,"501 - 1,000",7.73,Gerhard Christiner,Vienna,Wien,"Raw Materials, Utilities"
18,Schlotterer,1976,"501 - 1,000",7.70,Wolfgang Neutatz,Salzburg,Adnet,Manufacture and Processing of Materials
19,Hypo Oberösterreich,1891,201 - 500,7.69,Klaus Kumpfmüller,Upper Austria,Linz,Banking and Financial Services
20,Fachhochschule Kufstein Tirol,1997,201 - 500,7.69,Thomas Madritsch,Tyrol,Kufstein,Education and Research
21,Netzwerk Telekom Service (NTS),1995,201 - 500,7.66,Alexander Albler,Styria,Raaba-Grambach,"IT, Internet, Telecommunication"
22,Fachhochschule Technikum Wien,1994,201 - 500,7.66,Prof. Dr. Sylvia Geyer,Vienna,Wien,Education and Research
23,ASFINAG,1982,"1,001 - 5,000",7.64,Josef Fiala,Vienna,Wien,Construction
24,BearingPoint,2009,201 - 500,7.64,Andreas Unger,Vienna,Wien,"Consulting and Audit, Agencies and Legal Services"
25,3M,1961,201 - 500,7.63,Carmen Greider,Vienna,Wien,Finished Goods and Consumer Goods
26,Universität für Bodenkultur Wien (BOKU),1872,"1,001 - 5,000",7.63,Dr. Kurt Weinberger,Vienna,Wien,Education and Research
27,LINZ AG,2000,"1,001 - 5,000",7.63,Eric Haider,Upper Austria,Linz,"Raw Materials, Utilities"
28,TÜV Austria,1872,"1,001 - 5,000",7.62,Stefan Haas,Lower Austria,Brunn am Gebirge,"Consulting and Audit, Agencies and Legal Services"
29,SKF,1907,"1,001 - 5,000",7.60,Rickard Gustafson,Upper Austria,Steyr,"Engineering, Manufacturing"
30,EREMA,1983,>200,7.59,Michael Heitzinger,Upper Austria,Ansfelden,"Engineering, Manufacturing"
31,Sparkasse Oberösterreich,1849,"1,001 - 5,000",7.59,Mag. Stefanie Christina Huber,Upper Austria,Linz,Banking and Financial Services
32,Pfizer,1956,201 - 500,7.59,Prof. Dr. Robin Rumler,Vienna,Wien,Chemicals and Pharmaceuticals
33,Red Bull,1984,>200,7.57,Dietrich Mateschitz,Salzburg,Fuschl am See,"Food, Soft Beverages, FMCG"
34,Erste Bank,1819,"10,001 - 50,000",7.56,Gerda Holzinger-Burgstaller,Vienna,Wien,Banking and Financial Services
35,Eternit,1894,201 - 500,7.55,Hans-Jörg Kasper,Upper Austria,Vöcklabruck,Manufacture and Processing of Materials
36,Baumit,1911,"501 - 1,000",7.55,Georg Bursik,Lower Austria,Waldegg,Manufacture and Processing of Materials
37,Philips,1926,201 - 500,7.55,Michaela Latzelsberger,Vienna,Wien,Finished Goods and Consumer Goods
38,Technische Universität Wien,1815,"5,001 - 10,000",7.53,Jörg P. Ponier,Vienna,Wien,Education and Research
39,Strabag,1835,"10,001 - 50,000",7.53,Dr. Thomas Birtel,Vienna,Wien,Construction
40,Berger-Schinken,1890,"501 - 1,000",7.52,Mag. Rudolf Berger,Lower Austria,Sieghartskirchen,"Food, Soft Beverages, FMCG"
41,Raiffeisenlandesbank Vorarlberg,1889,201 - 500,7.52,Wilfried Hopfner,Vorarlberg,Bregenz,Banking and Financial Services
42,Generali,1831,"1,001 - 5,000",7.51,Gregor Pilgram,Vienna,Wien,Insurance
43,BMD Systemhaus,1972,"501 - 1,000",7.48,Dr. Markus Knasmüller,Upper Austria,Steyr,"IT, Internet, Telecommunication"
44,Rauch,1919,"501 - 1,000",7.47,Jürgen Rauch,Vorarlberg,Rankweil,"Food, Soft Beverages, FMCG"
45,Lam Research Corporation,1980,"501 - 1,000",7.47,Tim Archer,Carinthia,Villach,"Electronics, Electrical Engineering, Medical Devices"
46,STIHL Gruppe,1981,"501 - 1,000",7.46,Dr. Clemens Schaller,Tyrol,Langkampfen,Finished Goods and Consumer Goods
47,Leyrer + Graf,1926,"1,001 - 5,000",7.46,Stefan Graf,Lower Austria,Gmünd,Construction
48,Mercedes-Benz,1950,>200,7.45,Thomas Mann,Salzburg,Eugendorf,Automotive (Producers and Suppliers)
49,Fröschl,1937,"1,001 - 5,000",7.45,Eduard Fröschl,Tyrol,Hall in Tirol,Construction
50,Donau Chemie,1828,"501 - 1,000",7.45,Dipl.-Ing. James Schober,Vienna,Wien,Chemicals and Pharmaceuticals
51,Austrian Institute of Technology (AIT),1956,"1,001 - 5,000",7.44,Prof. Dr. Wolfgang Knoll,Vienna,Wien,Education and Research
52,Hipp,1932,201 - 500,7.43,Prof. Dr. Claus Hipp,Upper Austria,Linz,"Food, Soft Beverages, FMCG"
53,Dynatrace,2005,"501 - 1,000",7.42,Richard Bowers,Upper Austria,Linz,"IT, Internet, Telecommunication"
54,ELIN,1997,"1,001 - 5,000",7.42,Herbert Wegleitner,Vienna,Wien,"Engineering, Manufacturing"
55,Kelly,1955,201 - 500,7.42,Markus Marek,Vienna,Wien,"Food, Soft Beverages, FMCG"
56,Raiffeisenlandesbank Kärnten,1895,"1,001 - 5,000",7.42,Peter Gauper,Carinthia,Klagenfurt am Wörthersee,Banking and Financial Services
57,KTM,1934,"1,001 - 5,000",7.42,Stefan Pierer,Upper Austria,Mattighofen,Automotive (Producers and Suppliers)
58,KSV1870,1870,201 - 500,7.42,Ricardo-José Vybiral,Vienna,Wien,Banking and Financial Services
59,ZAMG - Zentrum für Meteorologie und Geodynamik,1851,201 - 500,7.41,Dr. Michael Staudinger,Vienna,Wien,Education and Research
60,RedZac,1970,"1,001 - 5,000",7.41,Peter Osel,Lower Austria,Biedermannsdorf,Retail and Retail Services
61,Universität Graz,1585,"1,001 - 5,000",7.41,Ralph Zettl,Styria,Graz,Education and Research
62,Trumpf,1923,"501 - 1,000",7.39,Dr. phil. Nicola Leibinger-Kammüller,Vienna,Wien,"Engineering, Manufacturing"
63,BMW Motoren Steyr,1979,"1,001 - 5,000",7.39,Alexander Susanek,Upper Austria,Steyr,Automotive (Producers and Suppliers)
64,Energie Burgenland,1898,"501 - 1,000",7.39,Mag. Dr. Stephan Sharma,Burgenland,Eisenstadt,"Raw Materials, Utilities"
65,SAP,1986,201 - 500,7.38,Christina Wilfinger,Vienna,Wien,"IT, Internet, Telecommunication"
66,Technische Universität Graz,1811,"1,001 - 5,000",7.38,Harald Kainz,Styria,Graz,Education and Research
67,Apple,1976,>200,7.38,Michaela Novak-Chaid,Vienna,Wien,"IT, Internet, Telecommunication"
68,"Österreichischer Automobil-, Motorrad- und Touringclub (ÖAMTC)",1946,"1,001 - 5,000",7.38,Gottfried Wanitschek,Vienna,Wien,Insurance
69,voestalpine,1938,"10,001 - 50,000",7.33,Herbert Eibensteiner,Upper Austria,Linz,Manufacture and Processing of Materials
70,Wien Energie,1899,"1,001 - 5,000",7.33,Dipl.-Ing. Mag. Michael Strebl,Vienna,Wien,"Raw Materials, Utilities"
71,Rhomberg Bau,1886,"501 - 1,000",7.31,Martin Summer,Vorarlberg,Bregenz,Construction
72,Fachhochschule Burgenland,1993,"501 - 1,000",7.31,Georg Pehm,Burgenland,Eisenstadt,Education and Research
73,Rail Cargo Group,2005,"5,001 - 10,000",7.31,Clemens Först,Vienna,Wien,Transportation and Logistics
74,Novartis,1996,"1,001 - 5,000",7.31,Shirley Gil Parrado,Vienna,Wien,Chemicals and Pharmaceuticals
75,Saubermacher,1979,"1,001 - 5,000",7.31,Ralf Mittermayr,Styria,Feldkirchen bei Graz,"Raw Materials, Utilities"
76,Bezirkskrankenhaus Kufstein,1961,"1,001 - 5,000",7.31,Carl Miller,Tyrol,Kufstein,"Healthcare, Social Services"
77,KASTNER,1828,"501 - 1,000",7.29,Mag. Herwig Gruber,Lower Austria,Zwettl,Wholesale
78,Porr,1869,"5,001 - 10,000",7.29,Thorsten Härtel,Vienna,Wien,Construction
79,Rupp,1908,"501 - 1,000",7.29,Josef Rupp,Vorarlberg,Hörbranz,"Food, Soft Beverages, FMCG"
80,Universität Innsbruck,1669,"5,001 - 10,000",7.28,Dr. Werner Ritter,Tyrol,Innsbruck,Education and Research
81,Eaton,1911,"501 - 1,000",7.28,Fernando Ceccarelli​,Lower Austria,Schrems,"Electronics, Electrical Engineering, Medical Devices"
82,Universität für Musik und darstellende Kunst Wien,1817,"1,001 - 5,000",7.28,Mag.a art. Ulrike Sych,Vienna,Wien,Education and Research
83,VACE,1981,"501 - 1,000",7.27,Andreas Obermüller,Upper Austria,Linz,"Engineering, Manufacturing"
84,Haberkorn,1932,"501 - 1,000",7.26,Gerald Fitz,Vorarlberg,Wolfurt,Wholesale
85,Wiener Stadtwerke,1999,"10,001 - 50,000",7.26,Martin Krajcsir,Vienna,Wien,"Raw Materials, Utilities"
86,Ordensklinikum Linz,1841,"1,001 - 5,000",7.25,Walter Kneidinger,Upper Austria,Linz,"Healthcare, Social Services"
87,Austro Control,1993,"1,001 - 5,000",7.25,Valerie Hackl,Vienna,Wien,Transportation and Logistics
88,Wienerberger,1819,201 - 500,7.25,Johann Marchner,Vienna,Wien,Manufacture and Processing of Materials
89,Richter Pharma,1918,201 - 500,7.24,Mag. Roland Huemer,Upper Austria,Wels,Chemicals and Pharmaceuticals
90,willhaben.at,2006,201 - 500,7.24,Sylvia Dellantonio,Vienna,Wien,"IT, Internet, Telecommunication"
91,Fiegl & Spielberger,1927,201 - 500,7.23,Leonhard Neuner,Tyrol,Innsbruck,"Electronics, Electrical Engineering, Medical Devices"
92,Deichmann,1913,"1,001 - 5,000",7.22,Georg Müller,Vienna,Wien,Retail and Retail Services
93,Sandoz,1965,"1,001 - 5,000",7.22,Mario Riesner,Tyrol,Kundl,Chemicals and Pharmaceuticals
94,Canon,1975,201 - 500,7.22,Hermann Anderl,Vienna,Wien,"Electronics, Electrical Engineering, Medical Devices"
95,EBCONT group,2000,201 - 500,7.22,Alexander Deles,Lower Austria,Neulengbach,"IT, Internet, Telecommunication"
96,Infineon,1970,"1,001 - 5,000",7.21,Dr. Sabine Herlitschka,Carinthia,Villach,"Electronics, Electrical Engineering, Medical Devices"
