rank,company,founded,employees,score,ceo,state,hq,industry
1,Zweifel Pomy-Chips,1958,201 - 500,8.96,Christoph Zweifel,Zürich,Zürich,Manufacture of Food and other Consumer Goods
2,Schindler,1874,"1,001 - 5,000",8.70,Patrick Hess,Lucerne,Ebikon,Mechanical and Plant Engineering
3,Rolex,1905,"5,001 - 10,000",8.63,Jean-Frédéric Dufour,Geneva,Genf,Watches and Jewelry
4,Breitling,1884,"501 - 1,000",8.56,Georges Kern,Solothurn,Grenchen,Watches and Jewelry
5,Microsoft Schweiz,1989,"501 - 1,000",8.41,Catrin Hinkel,Zürich,Zürich,"Internet, Telecommunications and IT"
6,Schweizerische Südostbahn,2001,"501 - 1,000",8.33,Thomas Küchler,St. Gallen,St. Gallen,Transportation and Logistics
7,EPFL Eidgenössische Technische Hochschule Lausanne,1969,"5,001 - 10,000",8.28,Martin Vetterli,Vaud,Lausanne,Education and Research
8,Geberit,1874,"1,001 - 5,000",8.27,Christian Buhl,St. Gallen,Jona,Production and Processing of Raw and Building Materials
9,Roche,1896,"10,001 - 50,000",8.25,Dr. Severin Schwan,Basle-City,Basel,Chemicals and Pharmaceuticals
10,Apple Schweiz,1976,"501 - 1,000",8.20,Rolf Weiss,Zürich,Zürich,Retail
11,Google,1998,"1,001 - 5,000",8.19,Patrick Warnking,Zürich,Zürich,"Internet, Telecommunications and IT"
12,Emmi Gruppe,1907,"5,001 - 10,000",8.19,Urs Riedener,Lucerne,Luzern,Manufacture of Food and other Consumer Goods
13,IKEA Schweiz,1943,"1,001 - 5,000",8.16,Jessica Anderen,Aargau,Spreitenbach,Retail
14,Landi Schweiz,1989,201 - 500,8.15,Ernst Hunkeler,Bern,Dotzigen,Retail
15,BLS,1906,"1,001 - 5,000",8.12,Daniel Schafer,Bern,Bern,Transportation and Logistics
16,Swissquote Bank,1996,"501 - 1,000",8.11,Marc Bürki,Vaud,Gland,International and Investment Banking
17,Zurich,1872,"5,001 - 10,000",8.11,Juan Beer,Zürich,Zürich,Insurance
18,Delica,1928,"1,001 - 5,000",8.10,Raphael Gugerli,St. Gallen,Buchs,Manufacture of Food and other Consumer Goods
19,Leica Geosystems,1997,"1,001 - 5,000",8.08,Thomas Harring,St. Gallen,Heerbrugg,"Electronics, Electrical Engineering, Medical Devices"
20,Swiss Re,1863,"1,001 - 5,000",8.08,Christian Mumenthaler,Zürich,Zürich,Insurance
21,Die Mobiliar,1826,"5,001 - 10,000",8.08,Michèle Rodoni,Bern,Bern,Insurance
22,Schweizerisches Rotes Kreuz,1866,201 - 500,8.04,Markus Mader,Bern,Bern,Healthcare and Social
23,ETH Eidgenössische Technische Hochschule Zürich,1855,"10,001 - 50,000",8.02,Joël Mesot,Zürich,Zürich,Education and Research
