rank,company,founded,employees,score,ceo,state,hq,industry
1,Infineon,1999,>250,8.45,Jochen Hanebeck,Germany,Neubiberg,"Semiconductors, Electronics, Electrical Engineering, Hardware"
2,Start People,1977,>250,8.40,Ann Martens,Netherlands,Almere,Business Services and Supplies
3,Techint Group,1945,>250,8.39,Paolo Rocca,Luxembourg,Luxembourg,"Manufacture and Processing of Materials, Metals and Paper"
4,Finecobank Banca Fineco,1999,>250,8.22,Alessandro Foti,Italy,Milan,Banking and Financial Services
5,Giorgio Armani,1975,>250,8.19,Giorgio Armani,Italy,Milan,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
6,Allegro,1999,>250,8.15,Francois Nuyts,Poland,Poznan,Retail
7,Cd Projekt,1994,>250,8.15,Adam Kiciński,Poland,Warsaw,"IT, Internet, Software and Services"
8,Fleury Michon,1905,>250,8.14,Billy Salha,France,Pouzauges,"Food, Soft Beverages, Alcohol and Tobacco"
9,Hermès,1837,>250,8.13,Axel Dumas,France,Paris,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
10,Keysight Technologies,1938,>250,8.11,Ron Nersesian,Germany,Böblingen,"Semiconductors, Electronics, Electrical Engineering, Hardware"
11,Prada Group,1913,>250,8.09,"Miuccia Prada, Patrizio Bertelli",Italy,Milan,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
12,Club Méditerranée,1950,>250,8.09,Henri Giscard d'Estaing,France,Paris,Travel and Leisure
13,Merit Medical,1987,>250,8.09,Fred Lampropoulos,Ireland,Galway,"IT, Internet, Software and Services"
14,Agilent Technologies,1999,>250,8.09,Mike McMullen,Germany,Waldbronn,Health Care Equipment and Services
15,ADM,1902,>250,8.09,Juan R. Luciano,Switzerland,Rolle,"Food, Soft Beverages, Alcohol and Tobacco"
16,IKEA,1943,>250,8.08,Jon Abrahamsson Ring,Netherlands,Delft,Retail
17,Disneyland Paris,1992,>250,8.05,Natacha Rafalski,France,Chessy,Travel and Leisure
18,Avanade,2000,>250,8.05,Pamela Maynard,United Kingdom,London,"IT, Internet, Software and Services"
19,Fiducia & GAD IT,1924,>250,8.05,Martin Beyer,Germany,Münster,"IT, Internet, Software and Services"
20,State Street Bank International,1970,>250,8.04,Ronald P. O'Hanley,Germany,Frankfurt am Main,Banking and Financial Services
21,Salesforce,1999,>250,8.04,Marc Benioff,Switzerland,Staines,"IT, Internet, Software and Services"
22,La Cassa di Ravenna,1840,>250,8.02,Antonio Patuelli,Italy,Ravenna,Banking and Financial Services
23,MAIF,1934,>250,8.01,Yves Pellicier,France,Niort,Insurance
24,Google,1998,>250,8.01,Sundar Pichai,Ireland,Dublin,"IT, Internet, Software and Services"
25,Hyatt Hotels Corporation,1957,>250,8.00,Mark Hoplamazian,United Kingdom,London,Travel and Leisure
26,PayPal,1998,>250,8.00,Dan Schulman,Luxembourg,Luxembourg,Banking and Financial Services
27,Techem,1952,>250,7.98,Matthias Hartmann,Germany,Eschborn,"Semiconductors, Electronics, Electrical Engineering, Hardware"
28,AbbVie,2013,>250,7.98,Richard A. Gonzalez,Germany,Ludwigshafen,Drugs and Biotechnology
29,Microsoft,1975,>250,7.98,Satya Nadella,Germany,Unterschleißheim,"IT, Internet, Software and Services"
30,Salling Group,1906,>250,7.97,Per Bank,Denmark,Brabrand,Retail
31,Hugo Boss,1924,>250,7.97,Daniel Grieder,Germany,Metzingen,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
32,Barilla,1877,>250,7.96,Claudio Colzani,Italy,Parma,"Food, Soft Beverages, Alcohol and Tobacco"
33,alight,2017,>250,7.96,Stephan Scholl,United Kingdom,London,"IT, Internet, Software and Services"
34,Groupe Atlantic,1968,>250,7.96,Pierre-Louis Francois,France,La Roche-sur-Yon,"Semiconductors, Electronics, Electrical Engineering, Hardware"
35,Radiometer Medical,1935,>250,7.94,Henrik Schimmell,Denmark,Copenhagen,Health Care Equipment and Services
36,GRDF,2008,>250,7.94,Edouard Sauvage,France,Paris,Utilities
37,Bristol Myers Squibb,1819,>250,7.94,Giovanni Caforio,France,Rueil-Malmaison,Drugs and Biotechnology
38,Sartorius,1870,>250,7.94,Joachim Kreuzburg,Germany,Goettingen,Drugs and Biotechnology
39,wagamama,1992,>250,7.93,Thomas Heier,United Kingdom,London,Restaurants
40,EnBW,1997,>250,7.93,Frank Mastiaux,Germany,Karlsruhe,Utilities
41,S Group (S-ryhmä),1904,>250,7.93,Hannu Krook,Finland,Helsinki,Business Services and Supplies
42,Orkla,2004,>250,7.92,Nils K. Selte,Norway,Oslo,"Food, Soft Beverages, Alcohol and Tobacco"
43,Cummins,1919,>250,7.91,Jennifer Rumsey,United Kingdom,Wellingborough,"Engineering, Manufacturing"
44,Cmc,2003,>250,7.91,Barbara Smith,Poland,Zawiercie,"Manufacture and Processing of Materials, Metals and Paper"
45,Rexel,1967,>250,7.90,Guillaume Texier,France,Paris,Wholesale
46,Lush,1995,>250,7.90,Mark Constantine,United Kingdom,Poole,Retail
47,IBM,1911,>250,7.90,Arvind Krishna,France,Paris,"IT, Internet, Software and Services"
48,ams,1981,>250,7.90,Alexander Everke,Austria,Styria,"Semiconductors, Electronics, Electrical Engineering, Hardware"
49,Erste Bank,1819,>250,7.89,Willibald Cernko,Austria,Vienna,Banking and Financial Services
50,American Express Company (AmEx),1850,>250,7.89,Stephen J. Squeri,United Kingdom,Brighton,Banking and Financial Services
51,Indeed,2004,>250,7.89,Chris Hyams,Ireland,Dublin,"IT, Internet, Software and Services"
52,Radboudumc,1951,>250,7.87,Bertine Lahuis,Netherlands,Nimwegen,Healthcare (Social)
53,Bricoman,1999,>250,7.87,Maziar Golkhosravi,France,Lille,Retail
54,Clifford Chance,1987,>250,7.87,Caroline Firstbrook,United Kingdom,London,Consulting and Accounting
55,Roche,1896,>250,7.86,Severin Schwan,Switzerland,Basel,Drugs and Biotechnology
56,LINZ AG,2000,>250,7.86,Erich Haider,Austria,Linz,Utilities
57,AGCO,1990,>250,7.86,Eric P. Hansotia,Switzerland,Neuhausen am Rheinfall,"Aerospace, Defence, Manufacture of Transport Equipment"
58,Boston Scientific,1979,>250,7.86,Michael F. Mahoney,France,Voisins-le-Bretonneux,Health Care Equipment and Services
59,Lilly,1876,>250,7.85,David A. Ricks,United Kingdom,Basingstoke,Drugs and Biotechnology
60,Arrow Electronics,1935,>250,7.85,Sean J. Kerins,Germany,Neu-Isenburg,"Semiconductors, Electronics, Electrical Engineering, Hardware"
61,Practice Plus Group,1982,>250,7.85,Andrew Knight,United Kingdom,Colchester,Healthcare (Social)
62,TK Maxx,1994,>250,7.84,Ernie Herrman,United Kingdom,Watford,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
63,Landesbank Baden-Württemberg,1818,>250,7.84,Rainer Neske,Germany,Stuttgart,Banking and Financial Services
64,AstraZeneca,1999,>250,7.84,Pascal Soriot,United Kingdom,Cambridge,Drugs and Biotechnology
65,Cisco,1984,>250,7.84,Chuck Robbins,Netherlands,Amsterdam,"IT, Internet, Software and Services"
66,Solita,1996,>250,7.84,Ossi Lindroos,Finland,Tampere,"IT, Internet, Software and Services"
67,Deutsche Bundesbank,1957,>250,7.83,Jens Weidmann,Germany,Frankfurt am Main,Banking and Financial Services
68,Scania,1891,>250,7.83,Christian Levin,Sweden,Södertälje,Automotive (Producers and Suppliers)
69,Chevron,1879,>250,7.83,Michael Wirth,United Kingdom,London,"Oil and Gas Operations, Mining, and Chemicals"
70,Rolls-Royce Motor Cars,1904,>250,7.83,Torsten Müller-Ötvös,United Kingdom,"Goodwood, Westhampnett",Automotive (Producers and Suppliers)
71,Louis Vuitton,1854,>250,7.82,Michael Burke,France,Paris,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
72,GVB,1900,>250,7.82,Claudia Zuiderwijk,Netherlands,Amsterdam,Transportation and Logistics
73,Nationwide Building Society,1846,>250,7.82,Debbie Crosbie,United Kingdom,Swindon,Banking and Financial Services
74,Whitbread,1742,>250,7.82,Alison Brittain,United Kingdom,Dunstable,Travel and Leisure
75,Universitätsklinikum Münster,1774,>250,7.82,Christoph Hoppenheit,Germany,Münster,Healthcare (Social)
76,Booking.com,1996,>250,7.82,Glenn Fogel,Netherlands,Amsterdam,Travel and Leisure
77,SAP,1972,>250,7.81,Christian Klein,Germany,Walldorf,"IT, Internet, Software and Services"
78,Volvo Car Group,1927,>250,7.81,Jim Rowan,Sweden,Göteborg,Automotive (Producers and Suppliers)
79,Fnac Darty,1954,>250,7.81,Enrique Martinez,France,Ivry-sur-Seine,Retail
80,Icon Plc,1990,>250,7.80,Steve Cutler,Ireland,Dublin,Drugs and Biotechnology
81,Hilton Hotels & Resorts,1925,>250,7.80,Christopher J. Nassetta,United Kingdom,Watford,Travel and Leisure
82,InterContinental Hotels Group,1777,>250,7.80,Keith Barr,United Kingdom,Buckinghamshire,Travel and Leisure
83,Fronius International,1945,>250,7.80,Elisabeth Engelbrechtsmüller-Strauß,Austria,Pettenbach,"Semiconductors, Electronics, Electrical Engineering, Hardware"
84,Helvetia,1858,>250,7.80,Philipp Gmür,Switzerland,St. Gallen,Insurance
85,Unipol Gruppo Finanziario,1963,>250,7.79,Carlo Cimbri,Italy,Bologna,Insurance
86,Merck,1668,>250,7.79,Belén Garijo,Germany,Darmstadt,Drugs and Biotechnology
87,Fidelity Worldwide Investment,1969,>250,7.79,Anne Richards,United Kingdom,London,Banking and Financial Services
88,Grupo Social Once,1938,>250,7.79,D. Miguel Carballeda Piñeiro,Spain,Madrid,Healthcare (Social)
89,United Utilities,1989,>250,7.79,Steve Mogford,United Kingdom,Warrington,Utilities
90,Apple,1976,>250,7.79,Tim Cook,Ireland,Cork,"Semiconductors, Electronics, Electrical Engineering, Hardware"
91,The Kellogg Company,1894,>250,7.78,Steven Cahillane,United Kingdom,London,"Food, Soft Beverages, Alcohol and Tobacco"
92,Facebook,2004,>250,7.78,Mark Zuckerberg,Ireland,Dublin,"IT, Internet, Software and Services"
93,Dow,1897,>250,7.78,Jim Fitterling,Switzerland,Horgen,"Oil and Gas Operations, Mining, and Chemicals"
94,Budimex,1968,>250,7.78,Artur Popko,Poland,Warsaw,Construction
95,Nordic Choice Hotels,1997,>250,7.78,Torgeir Silseth,Norway,Oslo,Travel and Leisure
96,Hewlett Packard Enterprise,1939,>250,7.78,Antonio Neri,Switzerland,Geneva,"IT, Internet, Software and Services"
97,Alexander Mann Solutions,1996,>250,7.78,David Leigh,United Kingdom,London,Business Services and Supplies
98,Pfizer,1849,>250,7.77,Albert Bourla,United Kingdom,Kent,Drugs and Biotechnology
99,DNB,1822,>250,7.77,Kjerstin Braathen,Norway,Oslo,Banking and Financial Services
100,Wolters Kluwer,1836,>250,7.77,Nancy McKinstry,Netherlands,Alphen aan den Rijn,Media and Advertising
101,Fazer,1891,>250,7.77,Christoph Vitzthum,Finland,Vantaa,"Food, Soft Beverages, Alcohol and Tobacco"
102,Yahoo!,1994,>250,7.77,Jim Lanzone,Ireland,Dublin,"IT, Internet, Software and Services"
103,Easyjet,1995,>250,7.77,Johan Lundgren,United Kingdom,London,Transportation and Logistics
104,NTT Data,1988,>250,7.77,Yo Honma,United Kingdom,London,"IT, Internet, Software and Services"
105,Akamai Technologies,1995,>250,7.77,Tom Leighton,Switzerland,Zurich,"IT, Internet, Software and Services"
106,Swiss Re,1863,>250,7.77,Christian Mumenthaler,Switzerland,Zurich,Insurance
107,Medtronic,1949,>250,7.77,Geoffry Martha,Switzerland,Tolochenaz,Health Care Equipment and Services
108,RheinEnergie,1872,>250,7.77,Andreas Feicht,Germany,Cologne,Utilities
109,Bestseller,1975,>250,7.77,Anders Holch Povlsen,Denmark,Brande,Retail
110,Norauto,1970,>250,7.76,Matthieu Foucart,France,Sainghin-en-Mélantois,Retail
111,Miele,1899,>250,7.76,Markus Miele,Germany,Gütersloh,"Semiconductors, Electronics, Electrical Engineering, Hardware"
112,Admiral Group,1993,>250,7.76,Milena Mondini de Focatiis,United Kingdom,Cardiff,Insurance
113,Moody's Corporation,1900,>250,7.76,Rob Fauber,United Kingdom,London,Banking and Financial Services
