rank,company,founded,employees,score,ceo,state,hq,industry
1,Delta Air Lines,1924,"50,001 - 100,000",100,Ed Bastian,Georgia,Atlanta,Transportation and Logistics
2,In-N-Out Burger,1948,"10,001 - 50,000",99,Lynsi Snyder,California,Irvine,Restaurants
3,American Express,1850,"10,001 - 50,000",98.93,Stephen J. Squeri,New York,New York,Banking and Financial Services
4,Dutch Bros. Coffee,1992,"10,001 - 50,000",98.77,Joth Ricci,Oregon,Grants Pass,Restaurants
5,UCLA Health,1955,"10,001 - 50,000",98.77,John C. Mazziotta,California,Los Angeles,Healthcare & Social Services
6,Ally Financial,1919,"10,001 - 50,000",98.69,Douglas Timmerman,Michigan,Detroit,Banking and Financial Services
7,Takeda Pharmaceutical,1781,"10,001 - 50,000",97.73,Christophe Weber,Massachusetts,Lexington,Drugs & Biotechnology
8,Google,1998,"100,001 - 500,000",97.68,Sundar Pichai,California,Mountain View,IT Software & Services
9,Businessolver,1998,"1,001 - 5,000",97.55,Jon Shanahan,Iowa,West Des Moines,IT Software & Services
10,Garmin,1989,>5000,97.53,Clifton Pemble,Kansas,Olathe,"Semiconductors, Electronics, Electrical Engineering"
11,Principal Financial Group,1879,"10,001 - 50,000",97.28,Daniel J. Houston,Iowa,Des Moines,Banking and Financial Services
12,Microsoft,1975,"100,001 - 500,000",97.14,Satya Nadella,Washington,Redmond,IT Software & Services
13,Kimberly-Clark,1872,"10,001 - 50,000",96.71,Michael D. Hsu,Texas,Irving,Packaged Goods
14,"University of Tennessee, Knoxville",1794,"1,001 - 5,000",96.52,Donde Plowman,Tennessee,Knoxville,Education
15,Bridgestone,1931,"100,001 - 500,000",96.51,Paolo Ferrari,Tennessee,Nashville,Automotive (Automotive and Suppliers)
16,University of Michigan,1817,"50,001 - 100,000",96.5,Santa J. Ono,Michigan,Ann Arbor,Education
17,World Wide Technology,1990,"5,001 - 10,000",96.32,Jim Kavanaugh,Missouri,Maryland Heights,IT Software & Services
18,Bristol Meyers Squibb,1887,"10,001 - 50,000",96.3,Giovanni Caforio,New York,New York,Drugs & Biotechnology
19,Houston Methodist,1919,"10,001 - 50,000",96.18,Marc L. Boom,Texas,Houston,Healthcare & Social Services
20,Chevron,1879,"10,001 - 50,000",95.65,Michael K. Wirth,California,San Ramon,"Construction, Chemicals, Raw Materials"
21,Acorn Engineering Company,1954,>1000,95.35,Jonathan Coiley,California,City of Industry,"Engineering, Manufacturing"
22,Office of the Director of National Intelligence (ODNI),2005,>1000,95.01,Avril Haines,District of Columbia,Washington,Government Services
23,H-E-B,1905,"100,001 - 500,000",94.67,Charles Butt,Texas,San Antonio,Retail and Wholesale
24,Gilbane Building Company,1870,"1,001 - 5,000",94.64,Thomas F. Gilbane,Rhode Island,Providence,"Construction, Chemicals, Raw Materials"
25,Mayo Clinic,1889,"50,001 - 100,000",94.63,Gianrico Farrugia,Minnesota,Rochester,Healthcare & Social Services
26,Cardinal Health,1971,"10,001 - 50,000",94.62,Mike Kaufmann,Ohio,Dublin,Health Care Equipment & Services
27,Apple,1976,"100,001 - 500,000",94.5,Tim Cook,California,Cupertino,"Semiconductors, Electronics, Electrical Engineering"
28,Fidelity Investments,1946,"50,001 - 100,000",94.49,Abigail Johnson,Massachusetts,Boston,Banking and Financial Services
29,Capital One Financial,1994,"50,001 - 100,000",94.44,Richard D. Fairbank,Virginia,McLean,Banking and Financial Services
30,Methodist Health System (Nebraska),1891,"5,001 - 10,000",94.43,Steve Goeser,Nebraska,Omaha,Healthcare & Social Services
31,Toyota USA,1937,"50,001 - 100,000",94.19,Tetsuo “Ted” Ogawa,Texas,Plano,Automotive (Automotive and Suppliers)
32,Edward Jones,1922,"10,001 - 50,000",94,Penny Pennington,Missouri,St. Louis,Banking and Financial Services
33,Turner Construction,1902,"5,001 - 10,000",93.92,Peter J. Davoren,New York,New York,"Construction, Chemicals, Raw Materials"
34,American Savings Bank Hawaii,1925,"1,001 - 5,000",93.92,Ann Teranishi,Hawaii,Honolulu,Banking and Financial Services
35,Bellin Health,1907,"5,001 - 10,000",93.91,Scott Rathgaber,Wisconsin,Green Bay,Healthcare & Social Services
36,Boston Scientific,1979,"10,001 - 50,000",93.84,Michael F. Mahoney,Massachusetts,Marlborough,Health Care Equipment & Services
37,NASA,1958,"10,001 - 50,000",93.84,Bill Nelson,District of Columbia,Washington,Aerospace & Defense
